Capricorn 6,Aquarius 6,Pisces 6,14,10,10,413|426|457|156|147|134|204|215|104|103|413,413|426|457|348|375|485|374|641|714|743|413
Capricorn 6,Aquarius 6,Pisces 5,13,9,9,413|426|457|156|147|437|346|437|406|413,431|461|472|485|374|064|174|163|130|431
Capricorn 6,Aquarius 6,Pisces 4A,14,9,9,413|426|457|156|147|134|231|541|514|413,413|426|457|156|147|134|231|541|514|413
Capricorn 6,Aquarius 6,Pisces 4B,11,9,9,413|423|456|347|674|741|734|643|310|413,413|423|456|347|437|307|604|714|743|413
Capricorn 6,Aquarius 6,Pisces Alt,11,7,8,413|426|457|156|147|437|406|413,431|432|465|374|064|174|163|130|431
Capricorn 6,Aquarius 5,Pisces 6,15,11,10,431|432|465|478|578|487|357|054|124|215|104|431,542|432|465|374|041|130|241|254|145|412|542
Capricorn 6,Aquarius 5,Pisces 5,14,9,9,413|426|127|154|245|154|125|014|103|413,875|762|465|374|463|574|587|478|745|875
Capricorn 6,Aquarius 5,Pisces 4A,15,9,9,875|762|472|485|574|875|784|654|784|875,875|762|472|485|574|875|784|654|784|875
Capricorn 6,Aquarius 5,Pisces 4B,12,9,9,413|423|456|487|578|487|754|643|310|413,431|461|472|145|215|514|524|415|402|431
Capricorn 6,Aquarius 5,Pisces Alt,12,8,8,857|726|456|487|578|487|458|547|857,875|762|472|485|574|587|478|745|875
Capricorn 6,Aquarius 4A,Pisces 6,15,11,10,413|426|427|458|345|374|347|457|548|437|406|413,431|462|475|345|042|152|041|340|013|104|431
Capricorn 6,Aquarius 4A,Pisces 5,14,9,10,857|726|427|458|345|374|347|436|547|857,431|432|465|374|364|475|574|541|214|104|431
Capricorn 6,Aquarius 4A,Pisces 4A,15,8,8,413|426|457|348|375|674|643|310|413,413|426|457|348|375|674|643|310|413
Capricorn 6,Aquarius 4A,Pisces 4B,12,8,9,431|462|475|345|415|142|251|541|431,431|461|472|145|215|514|501|201|104|431
Capricorn 6,Aquarius 4A,Pisces Alt,12,8,8,746|416|427|458|345|374|347|436|746,764|461|472|485|374|073|346|437|764
Capricorn 6,Aquarius 4B,Pisces 6,13,10,11,431|432|465|472|342|012|021|124|215|104|431,413|426|127|154|243|140|031|341|354|425|514|413
Capricorn 6,Aquarius 4B,Pisces 5,12,9,8,413|426|127|154|125|012|125|014|103|413,875|762|472|485|374|465|534|845|875
Capricorn 6,Aquarius 4B,Pisces 4A,13,8,8,542|432|465|472|342|012|321|451|542,542|432|465|472|342|012|321|451|542
Capricorn 6,Aquarius 4B,Pisces 4B,10,9,10,413|423|456|347|354|645|754|643|310|413,413|423|456|347|437|736|463|534|435|504|413
Capricorn 6,Aquarius 4B,Pisces Alt,10,8,7,857|726|456|347|314|345|458|547|857,542|432|465|374|465|534|845|542
Capricorn 6,Aquarius Alt,Pisces 6,13,9,9,431|462|475|345|475|584|473|163|130|431,431|462|475|345|475|584|473|163|130|431
