Capricorn 6,Aquarius 6,Pisces 6,14,10,,413|426|457|348|375|485|374|641|714|743|413,
Capricorn 6,Aquarius 6,Pisces 5,13,9,,431|461|472|485|374|064|174|163|130|431,
Capricorn 6,Aquarius 6,Pisces 4A,14,9,,413|426|457|354|645|748|647|714|743|413,
Capricorn 6,Aquarius 6,Pisces 4B,11,9,,413|423|456|347|437|307|604|714|743|413,
Capricorn 6,Aquarius 6,Pisces Alt,11,8,,431|432|465|374|064|174|163|130|431,
Capricorn 6,Aquarius 5,Pisces 6,15,10,,542|432|465|374|041|130|241|254|145|412|542,
Capricorn 6,Aquarius 5,Pisces 5,14,9,,875|762|465|374|463|574|587|478|745|875,
Capricorn 6,Aquarius 5,Pisces 4A,15,9,,431|462|475|345|312|415|524|415|402|431,
Capricorn 6,Aquarius 5,Pisces 4B,12,9,,431|461|472|145|215|514|524|415|402|431,
Capricorn 6,Aquarius 5,Pisces Alt,12,8,,875|762|472|485|574|587|478|745|875,
Capricorn 6,Aquarius 4A,Pisces 6,15,10,,431|462|475|345|042|152|041|340|013|104|431,
Capricorn 6,Aquarius 4A,Pisces 5,14,10,,431|432|465|374|364|475|574|541|214|104|431,
Capricorn 6,Aquarius 4A,Pisces 4A,15,9,,431|462|475|345|312|402|512|201|104|431,
Capricorn 6,Aquarius 4A,Pisces 4B,12,9,,431|461|472|145|215|514|501|201|104|431,
Capricorn 6,Aquarius 4A,Pisces Alt,12,8,,764|461|472|485|374|073|346|437|764,
Capricorn 6,Aquarius 4B,Pisces 6,13,11,,413|426|127|154|243|140|031|341|354|425|514|413,
Capricorn 6,Aquarius 4B,Pisces 5,12,8,,875|762|472|485|374|465|534|845|875,
Capricorn 6,Aquarius 4B,Pisces 4A,13,10,,413|426|457|354|645|735|645|354|425|514|413,
Capricorn 6,Aquarius 4B,Pisces 4B,10,10,,413|423|456|347|437|736|463|534|435|504|413,
Capricorn 6,Aquarius 4B,Pisces Alt,10,7,,542|432|465|374|465|534|845|542,
Capricorn 6,Aquarius Alt,Pisces 6,13,9,,413|426|457|147|134|204|215|104|103|413,
Capricorn 6,Aquarius Alt,Pisces 5,12,9,,413|426|123|014|104|437|346|437|406|413,
Capricorn 6,Aquarius Alt,Pisces 4A,13,7,,413|426|457|346|436|703|406|413,
Capricorn 6,Aquarius Alt,Pisces 4B,10,8,,431|462|361|034|304|031|140|430|431,
Capricorn 6,Aquarius Alt,Pisces Alt,10,7,,413|426|123|014|104|437|406|413,
Capricorn 5,Aquarius 6,Pisces 6,14,10,,453|143|034|345|375|485|374|064|174|183|453,
Capricorn 5,Aquarius 6,Pisces 5,13,8,,453|143|453|584|473|163|174|183|453,
Capricorn 5,Aquarius 6,Pisces 4A,14,8,,453|143|453|546|847|758|825|524|453,
Capricorn 5,Aquarius 6,Pisces 4B,11,8,,453|143|013|104|405|715|825|524|453,
Capricorn 5,Aquarius 6,Pisces Alt,11,7,,453|143|073|374|064|174|183|453,
Capricorn 5,Aquarius 5,Pisces 6,15,10,,102|015|014|123|210|140|241|254|145|132|102,
Capricorn 5,Aquarius 5,Pisces 5,14,9,,435|145|132|041|130|241|254|145|132|435,
Capricorn 5,Aquarius 5,Pisces 4A,15,9,,102|015|014|123|213|514|524|415|402|102,
Capricorn 5,Aquarius 5,Pisces 4B,12,8,,435|134|435|548|847|857|748|745|435,
Capricorn 5,Aquarius 5,Pisces Alt,12,8,,435|134|031|142|241|254|145|132|435,
Capricorn 5,Aquarius 4A,Pisces 6,15,10,,435|134|034|345|042|152|041|130|103|134|435,
Capricorn 5,Aquarius 4A,Pisces 5,14,9,,435|134|031|142|152|041|130|103|134|435,
Capricorn 5,Aquarius 4A,Pisces 4A,15,9,,102|015|014|123|213|514|501|204|215|102,
Capricorn 5,Aquarius 4A,Pisces 4B,12,8,,435|134|435|548|847|834|537|548|435,
Capricorn 5,Aquarius 4A,Pisces Alt,12,8,,435|134|031|142|052|021|014|304|435,
Capricorn 5,Aquarius 4B,Pisces 6,13,9,,435|134|034|345|375|485|374|465|534|435,
Capricorn 5,Aquarius 4B,Pisces 5,12,8,,102|105|235|145|152|041|132|201|102,
Capricorn 5,Aquarius 4B,Pisces 4A,13,8,,102|015|014|123|214|103|230|201|102,
Capricorn 5,Aquarius 4B,Pisces 4B,10,8,,435|145|135|438|437|736|463|534|435,
Capricorn 5,Aquarius 4B,Pisces Alt,10,6,,435|134|064|374|465|534|435,
Capricorn 5,Aquarius Alt,Pisces 6,13,8,,435|134|435|105|134|103|214|105|435,
Capricorn 5,Aquarius Alt,Pisces 5,12,8,,453|143|013|104|437|346|347|346|453,
Capricorn 5,Aquarius Alt,Pisces 4A,13,7,,453|143|013|103|403|130|143|453,
Capricorn 5,Aquarius Alt,Pisces 4B,10,8,,435|134|435|734|763|473|763|734|435,
Capricorn 5,Aquarius Alt,Pisces Alt,10,6,,453|143|013|104|437|346|453,
Capricorn 4A,Aquarius 6,Pisces 6,13,9,,457|348|375|485|374|641|714|723|426|457,
Capricorn 4A,Aquarius 6,Pisces 5,12,9,,142|152|041|034|164|173|274|571|472|142,
Capricorn 4A,Aquarius 6,Pisces 4A,13,8,,346|376|643|634|645|614|713|416|346,
Capricorn 4A,Aquarius 6,Pisces 4B,10,8,,346|347|437|407|304|614|713|416|346,
Capricorn 4A,Aquarius 6,Pisces Alt,10,7,,346|376|473|163|174|143|013|346,
Capricorn 4A,Aquarius 5,Pisces 6,14,9,,142|012|042|152|241|254|145|132|432|142,
Capricorn 4A,Aquarius 5,Pisces 5,13,8,,142|041|130|241|254|145|132|432|142,
Capricorn 4A,Aquarius 5,Pisces 4A,14,8,,475|375|645|748|857|748|475|462|475,
Capricorn 4A,Aquarius 5,Pisces 4B,11,8,,475|478|548|847|857|748|475|462|475,
Capricorn 4A,Aquarius 5,Pisces Alt,11,7,,142|152|241|254|145|132|432|142,
Capricorn 4A,Aquarius 4A,Pisces 6,14,9,,457|348|375|485|374|073|346|457|527|457,
Capricorn 4A,Aquarius 4A,Pisces 5,13,9,,364|374|364|475|384|357|047|174|461|364,
Capricorn 4A,Aquarius 4A,Pisces 4A,14,9,,142|042|312|402|512|201|104|135|432|142,
Capricorn 4A,Aquarius 4A,Pisces 4B,11,9,,142|145|215|514|501|201|104|135|432|142,
Capricorn 4A,Aquarius 4A,Pisces Alt,11,8,,142|152|041|340|013|104|135|432|142,
Capricorn 4A,Aquarius 4B,Pisces 6,12,9,,142|012|042|152|041|132|201|132|432|142,
Capricorn 4A,Aquarius 4B,Pisces 5,11,7,,142|152|041|132|201|132|432|142,
Capricorn 4A,Aquarius 4B,Pisces 4A,12,8,,142|042|312|415|512|201|132|432|142,
Capricorn 4A,Aquarius 4B,Pisces 4B,9,8,,142|135|104|403|130|201|132|432|142,
Capricorn 4A,Aquarius 4B,Pisces Alt,9,6,,142|041|132|201|132|432|142,
Capricorn 4A,Aquarius Alt,Pisces 6,12,8,,346|347|437|567|437|346|317|416|346,
Capricorn 4A,Aquarius Alt,Pisces 5,11,7,,457|147|134|204|103|214|124|457,
Capricorn 4A,Aquarius Alt,Pisces 4A,12,6,,346|046|136|403|713|416|346,
Capricorn 4A,Aquarius Alt,Pisces 4B,9,7,,364|367|034|031|140|430|461|364,
Capricorn 4A,Aquarius Alt,Pisces Alt,9,6,,013|014|104|437|406|316|013,
Capricorn 4B,Aquarius 6,Pisces 6,13,10,,153|154|451|342|352|485|374|064|174|143|153,
Capricorn 4B,Aquarius 6,Pisces 5,12,9,,153|054|351|452|485|374|064|174|143|153,
Capricorn 4B,Aquarius 6,Pisces 4A,13,8,,153|043|310|301|304|614|713|423|153,
Capricorn 4B,Aquarius 6,Pisces 4B,10,8,,153|043|310|401|304|614|713|423|153,
Capricorn 4B,Aquarius 6,Pisces Alt,10,7,,153|140|471|374|064|174|143|153,
Capricorn 4B,Aquarius 5,Pisces 6,14,10,,135|035|305|314|041|130|241|254|145|142|135,
Capricorn 4B,Aquarius 5,Pisces 5,13,9,,135|142|471|374|463|574|587|478|465|135,
Capricorn 4B,Aquarius 5,Pisces 4A,14,8,,135|035|305|312|415|524|415|142|135,
Capricorn 4B,Aquarius 5,Pisces 4B,11,8,,135|034|301|402|415|524|415|142|135,
Capricorn 4B,Aquarius 5,Pisces Alt,11,9,,135|045|315|425|152|241|254|145|142|135,
Capricorn 4B,Aquarius 4A,Pisces 6,14,10,,135|035|305|312|042|152|041|340|013|104|135,
Capricorn 4B,Aquarius 4A,Pisces 5,13,10,,135|034|301|031|142|251|541|512|201|104|135,
Capricorn 4B,Aquarius 4A,Pisces 4A,14,8,,135|035|305|312|402|512|201|104|135,
Capricorn 4B,Aquarius 4A,Pisces 4B,11,8,,135|034|301|402|415|504|201|104|135,
Capricorn 4B,Aquarius 4A,Pisces Alt,11,9,,135|045|315|425|152|041|340|013|104|135,
Capricorn 4B,Aquarius 4B,Pisces 6,12,9,,135|034|301|012|041|031|341|354|045|135,
Capricorn 4B,Aquarius 4B,Pisces 5,11,8,,135|245|572|475|584|473|564|234|135,
Capricorn 4B,Aquarius 4B,Pisces 4A,12,8,,135|035|305|312|415|504|531|234|135,
Capricorn 4B,Aquarius 4B,Pisces 4B,9,8,,135|035|302|401|304|435|564|234|135,
Capricorn 4B,Aquarius 4B,Pisces Alt,9,7,,135|134|461|364|475|564|234|135,
Capricorn 4B,Aquarius Alt,Pisces 6,12,8,,135|035|302|401|134|204|215|104|135,
Capricorn 4B,Aquarius Alt,Pisces 5,11,8,,153|043|310|401|134|104|013|124|153,
Capricorn 4B,Aquarius Alt,Pisces 4A,12,7,,153|043|310|301|304|031|140|153,
Capricorn 4B,Aquarius Alt,Pisces 4B,9,8,,153|043|310|401|430|140|430|140|153,
Capricorn 4B,Aquarius Alt,Pisces Alt,9,8,,135|035|305|402|512|542|215|104|135,
